,artists,track,album,time (s),popularity,year,id
3013,['Small Faces'],The Universal - 2013 Remaster,Greatest Hits - The Immediate Years 1967-1969,162.046,38,2013,2muUrHsYKN8WSgeojpxyGD
3014,['Childish Gambino'],3005,Because the Internet,234.215,83,2013,2ZltjIqztEpZtafc8w0I9t
3015,"['Au5', 'Juventa', 'Charlie Bath']",Dying Star - 2013,Monstercat - 10 Year Anniversary,281.142,29,2013,3GbezEfwXXetZXTYWFRPjp
3016,['PARTYNEXTDOOR'],Break from Toronto,PARTYNEXTDOOR,99.213,84,2013,79MSEdtXuudhGhC5AtG07g
3017,['Scott Hamilton'],Dear Old Stockholm,Stunt Records 30 Years 1983-2013,596.946,31,2013,3dg1KOZoG8DpV6s7hYkPe4
3018,"['Big Sean', 'Lil Wayne', 'Jhené Aiko']",Beware,Hall Of Fame (Deluxe),235.186,79,2013,6bxUnsSGZCmoHHU5auwtps
3019,['Betsy Wolfe'],I Can Do Better Than That,The Last Five Years (2013 Off-Broadway Cast Recording),325.453,28,2013,5TypCJ3deIfYKD9S1YWElB
3020,['Yung Lean'],Ginseng Strip 2002,Lavender,153.999,90,2013,79nEEoEPY2w8EXj9hjn5oc
3021,['Iron Maiden'],"Wasted Years - Live at Birmingham NEC, 1988; 2013 Remaster",Maiden England '88,305.76,18,2013,0mwsmOZKpZWS2pxcRJDLqo
3022,"['Lil Wayne', 'Drake', 'Future']",Love Me,I Am Not A Human Being II (Deluxe),253.44,79,2013,7tGlzXJv6GD5e5qlu5YmDg
3023,['Edwin Yearwood'],Pushing It,Soca Gold 2013,193.346,25,2013,6ABMDik8X4Mytp7qlHxI1i
3024,['Fitz and The Tantrums'],Out of My League,More Than Just a Dream (Deluxe Edition),209.386,79,2013,2AYEOC02WLhUiOoaig2SEH
3025,['TwoThirds'],Forever Summer - 2013,Monstercat - 10 Year Anniversary,285.272,21,2013,2u3Bf9YEOGgek5XCJVIKER
3026,['Paramore'],Still into You,Paramore,216.013,84,2013,1yjY7rpaAQvKwpdUliHx0d
3027,['Two Door Cinema Club'],Next Year - Live,Spotify Sessions (Live From Spotify NYC/2013),269.906,17,2013,4hgEAk99HpPHWV2qledliK
3028,['John Legend'],All of Me,Love In The Future (Expanded Edition),269.56,89,2013,3U4isOIWM3VvDubwSI3y7a
3029,['Small Faces'],"Wham, Bam, Thank You, Mam - 2013 Remaster",Greatest Hits - The Immediate Years 1967-1969,198.058,22,2013,42sf0uYe8oGmi22g1SlC2R
3030,['Arctic Monkeys'],Do I Wanna Know?,AM,272.394,89,2013,5FVd6KXrgO9B3JPmC8OPst
3031,['Betsy Wolfe'],Still Hurting,The Last Five Years (2013 Off-Broadway Cast Recording),305.813,22,2013,2RenEZCEoGncxt5xf17fNd
3032,"['J. Cole', 'Miguel']",Power Trip (feat. Miguel),Born Sinner (Deluxe Version),241.16,80,2013,2uwnP6tZVVmTovzX5ELooy
3033,['Ten Years After'],Nowhere to Run - 2013 Remaster,Positive Vibrations (Deluxe Version),241.093,20,2013,4PsqF8bktG40eFYXWoHC00
3034,['Darius Rucker'],Wagon Wheel,True Believers,298.373,81,2013,3xdjjKMcMOFgo1eQrfbogM
3035,"['Armin van Buuren', 'Miri Ben-Ari']",Intense,A State Of Trance Year Mix 2013,175.306,19,2013,5IzbRtz56y2WKubGgqXVMU
3036,['Avicii'],Wake Me Up,True,247.426,89,2013,0nrRP2bk19rLc0orkWPQk2
3037,['EDX'],Blessed - Original Club Mix,Monster Tunes Yearmix 2013 (Mixed by Mark Eteson),389.642,26,2013,1JcXaKWEmx241SfRPqzWtX
3038,['Cage The Elephant'],Come a Little Closer,Melophobia,229.346,79,2013,4sebUbjqbcgDSwG6PbSGI0
3039,['Rabbit Junk'],Break Shins to This (Remastered),Singles from the Lost Years 2011-2013 (Remastered),168.0,25,2013,3laOnlVLKZcOL9NJaaGhE7
3040,['Bastille'],Pompeii,Bad Blood,214.147,77,2013,3gbBpTdY8lnQwqxNCcf795
3041,"['Armin van Buuren ASOT Radio', 'Emma Hewitt']",Forever Is Ours (Mix Cut),A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),73.875,20,2013,3E4CfhPW8SscN2wfZwiP2m
3042,['Lorde'],Ribs,Pure Heroine,258.969,83,2013,2MvvoeRt8NcOXWESkxWn3g
3043,['The Pogues'],Streams of Whiskey - 2013 Mix,30 Years,152.893,19,2013,2kgKzwh2KyWeMkIx8K6Yhn
3044,['Passenger'],Let Her Go,All the Little Lights (Deluxe Version),252.733,79,2013,0JmiBCpWc1IAc0et7Xm7FL
3045,"['Armin van Buuren ASOT Radio', 'ARTY']",Nehalennia (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),72.72,19,2013,2th1kikmDFAqFG8OB7Zj2n
3046,['Arctic Monkeys'],I Wanna Be Yours,AM,183.956,86,2013,5XeFesFbtLpXzIVDNQP22n
3047,"['Armin van Buuren ASOT Radio', 'W&W']",D# Fat (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),95.32,18,2013,2l0FJH6jSI3EWzE7UyIC5J
3048,['Capital Cities'],Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),192.789,87,2013,6Z8R6UsFuGXGtiIxiD8ISb
3049,"['Armin van Buuren ASOT Radio', 'Trevor Guthrie', 'W&W']",This Is What It Feels Like (Mix Cut) - W&W Remix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),83.68,18,2013,4VqmFTfs4hSD9gbvaXXE7P
3050,['Kodaline'],All I Want,In A Perfect World (Expanded Edition),305.746,86,2013,0NlGoUyOJSuSHmngoibVAs
3051,['The Pogues'],Boys from the County Hell - 2013 Mix,30 Years,176.253,18,2013,1caAPKLGTbqUGqJPSY1BSr
3052,"['A$AP Rocky', 'Drake', '2 Chainz', 'Kendrick Lamar']","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),233.786,81,2013,4X5f3vT8MRuXF68pfjNte5
3053,['Armin van Buuren ASOT Radio'],Intro - The Oath (Mix Cut) - A State Of Trance Year Mix 2013,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),88.36,13,2013,1ztPLPjSNTVL0eTgVDRyaK
3054,['Bring Me The Horizon'],Can You Feel My Heart,Sempiternal (Expanded Edition),228.146,84,2013,0WSa1sucoNRcEeULlZVQXj
3055,['Betsy Wolfe'],See I'm Smiling,The Last Five Years (2013 Off-Broadway Cast Recording),310.653,19,2013,2OFD2oOzZAwvML1jSJeS62
3056,['Luke Bryan'],Play It Again,Crash My Party,226.866,77,2013,03fT3OHB9KyMtGMt2zwqCT
3057,['The Pogues'],Sea Shanty - 2013 Mix,30 Years,144.266,17,2013,3EkeTpUiWU4BxmYajXSt8W
3058,"['Drake', 'Majid Jordan']","Hold On, We're Going Home",Nothing Was The Same,227.88,76,2013,2aSC2xhRxOLiiZZVjhbylH
3059,['Betsy Wolfe'],A Summer in Ohio,The Last Five Years (2013 Off-Broadway Cast Recording),236.466,18,2013,7mlnqXq5s6A6tn9TyCBrmC
3060,['One Direction'],Story of My Life,Midnight Memories (Deluxe),245.493,86,2013,4nVBt6MZDDP6tRVdQTgxJg
3061,['Eagles'],"Funky New Year - Live at the Millennium Concert, Staples Center, Los Angeles, CA, 12/31/1999; 2013 Remaster",Selected Works 1972-1999,225.746,15,2013,35tZtQ48jiJdqcBsHUsmv3
3062,['Current Joys'],Blondie,Wild Heart,194.733,79,2013,7sIx70dGj3VBiHWr0KZXfD
3063,['The Pogues'],Poor Paddy - 2013 Mix,30 Years,189.786,16,2013,1BKSBkk8VVKYPjCMRGn3bm
3064,"['Tyler, The Creator', 'Pharrell Williams']",IFHY (feat. Pharrell),Wolf,319.253,77,2013,0NjW4SKY3gbfl2orl1p8hr
3065,"['Armin van Buuren ASOT Radio', 'Photographer']",Who's Afraid Of 138?! (Mix Cut) - Photographer Remix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),69.56,16,2013,2RpKRERQoLacw4FvUav1bB
3066,['Demi Lovato'],Heart Attack,Demi,210.84,85,2013,1V6gIisPpYqgFeWbMLI0bA
3067,['Adam Kantor'],Shiksa Goddess,The Last Five Years (2013 Off-Broadway Cast Recording),246.106,17,2013,063xEjZiz966S0tTPdRroY
3068,['salvia palth'],i was all over her,melanchole,161.462,80,2013,7svpAkwc6xaSxlbZ7V7JiS
3069,"['Armin van Buuren ASOT Radio', 'Fiora']",Waiting For The Night (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),72.696,16,2013,0yZTdSYc4kwTJPM6x9uUFi
3070,['Eminem'],Rap God,The Marshall Mathers LP2 (Deluxe),363.521,82,2013,6or1bKJiZ06IlK0vFvY75k
3071,"['Adam Kantor', 'Betsy Wolfe']",The Next Ten Minutes,The Last Five Years (2013 Off-Broadway Cast Recording),464.573,17,2013,7bodFpazbzgVEfi5uNBD0D
3072,['Kanye West'],Black Skinhead,Yeezus,188.013,80,2013,722tgOgdIbNe3BEyLnejw4
3073,['Adam Kantor'],Moving Too Fast,The Last Five Years (2013 Off-Broadway Cast Recording),246.586,17,2013,6tntEE4rzfvdE2nAk8iQrM
3074,['Lorde'],Royals,Pure Heroine,190.185,82,2013,2dLLR6qlu5UJ5gk0dKz0h3
3075,"['Adam Kantor', 'Betsy Wolfe']",Goodbye Until Tomorrow / I Could Never Rescue You,The Last Five Years (2013 Off-Broadway Cast Recording),468.56,16,2013,0E3tAEWYFVmJO9VfAPP3DF
3076,['Miley Cyrus'],We Can't Stop,Bangerz (Deluxe Version),231.24,82,2013,2y4lAQpi5VTNLu2ldeTdUH
3077,['Betsy Wolfe'],A Part of That,The Last Five Years (2013 Off-Broadway Cast Recording),240.373,16,2013,2bzhr9lu2cn07SlePnPrTb
3078,['Lana Del Rey'],Young And Beautiful,Young And Beautiful,236.053,82,2013,2nMeu6UenVvwUktBCpLMK9
3079,['The Pogues'],The Auld Triangle - 2013 Mix,30 Years,261.88,15,2013,1PvO8OKut1ZGpranXNBE47
3080,['Current Joys'],New Flesh,Wild Heart,167.986,78,2013,6HJxxqHWMdidwTVZmZWeHU
3081,['Adam Kantor'],If I Didn't Believe in You,The Last Five Years (2013 Off-Broadway Cast Recording),330.093,16,2013,2sSo0GoOheAPCKUXgw2DW0
3082,['Justin Timberlake'],Mirrors,The 20/20 Experience (Deluxe Version),484.146,83,2013,4rHZZAmHpZrA3iH5zx8frV
3083,['The Pogues'],Waxie's Dargle - 2013 Mix,30 Years,113.986,15,2013,7qBdZuT0090bl0JDbFrSS6
3084,"['Chance the Rapper', 'VIC MENSA', 'Twista']",Cocoa Butter Kisses,Acid Rap,307.187,75,2013,0aMHIW1lqrulVCx0LLlr6a
3085,['Novelists FR'],Twenty Years (Demo),Demos (2013-2014),318.756,15,2013,1XQMUvdhwj6rx4611xokw2
3086,['The Neighbourhood'],Afraid,I Love You.,251.186,81,2013,7brQHA2CgQpcMBiOlfiXYb
3087,['Betsy Wolfe'],Climbing Uphill,The Last Five Years (2013 Off-Broadway Cast Recording),219.653,15,2013,6jpeF6DGxa99cASWCqK0L8
3088,['Idina Menzel'],"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),223.84,78,2013,0qcr5FMsEO85NAQjrlDRKo
3089,['Ten Years After'],It's Getting Harder - 2013 Remaster,Positive Vibrations (Deluxe Version),263.826,16,2013,3MhJnGg5BiFcL5WHb5In4v
3090,"['Disclosure', 'Sam Smith']",Latch,Settle (Deluxe),255.866,74,2013,1DunhgeZSEgWiIYbHqXl0c
3091,['Rabbit Junk'],From the Ashes (Remastered),Singles from the Lost Years 2011-2013 (Remastered),242.5,19,2013,2xjWdgPB1I3BzG32SSxAo5
3092,['Paramore'],Ain't It Fun,Paramore,296.52,78,2013,1j8z4TTjJ1YOdoFEDwJTQa
3093,['The Pogues'],Dark Streets of London - 2013 Mix,30 Years,197.36,16,2013,5yyM0LuQPb10Vd06jWoSDh
3094,"['Florida Georgia Line', 'Luke Bryan']",This Is How We Roll,Here's To The Good Times...This Is How We Roll,220.906,74,2013,2TR7A4ulH9R1PNwMyd8o8U
3095,['The Pogues'],Transmetropolitan - 2013 Mix,30 Years,269.133,14,2013,6ZI5AYEZ61WPNgwxPt9s4L
3096,['Avenged Sevenfold'],Hail to the King,Hail to the King,305.906,79,2013,5anCkDvJ17aznvK5TED5uo
3097,['The City of Prague Philharmonic Orchestra'],"Solomon (From ""12 Years a Slave"")",Film Music 2013,200.026,11,2013,5ioVrLp6TrFLlcpVUs2q2N
3098,['Pharrell Williams'],Just a Cloud Away,Despicable Me 2 (Original Motion Picture Soundtrack),176.078,80,2013,4UPQiDmYScn2C6S2C2WATY
3099,"['Adam Kantor', 'Betsy Wolfe']",A Miracle Would Happen / When You Come Home to Me,The Last Five Years (2013 Off-Broadway Cast Recording),320.52,15,2013,2EV2hjksJl9YEDROTJ1zLk
3100,['Arctic Monkeys'],R U Mine?,AM,201.726,83,2013,2AT8iROs4FQueDv2c8q2KE
3101,['David Bowie'],The Jean Genie - 2013 Remaster,Five Years (1969 - 1973),248.013,17,2013,3zjv1lCEZNctcfTDPkFPy2
3102,['Jhené Aiko'],The Worst,Sail Out,254.493,75,2013,2wBCrtJS3E3TimRZ5MElTI
3103,['Rabbit Junk'],What Doesn't Kill You Will Make You a Killer (Remastered),Singles from the Lost Years 2011-2013 (Remastered),264.0,17,2013,2MTc6ietCS3kUgcdK0uaXy
3104,['Luke Bryan'],That's My Kind Of Night,Crash My Party,190.186,74,2013,5HGibWoxnkYSkl6mHmAlOE
3105,['Adam Kantor'],Nobody Needs to Know,The Last Five Years (2013 Off-Broadway Cast Recording),427.826,15,2013,1EFPTuREWVFO3kXjRgZiJn
3106,['Lorde'],Team,Pure Heroine,193.058,81,2013,3G6hD9B2ZHOsgf4WfNu7X1
3107,['Rush'],Dog Years - 2013 Remaster,The Studio Albums 1989-2007,295.066,11,2013,2VzImGA8TMcz0Jj40zuRGS
3108,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],248.413,86,2013,2Foc5Q5nqNiosCNqttzHof
3109,['Fort Knox Five'],Stand Up - 2013 Mix,10 Years of Fort Knox Five,266.793,17,2013,7BTIprMI4LA5kyh7JAJVa0
3110,['Childish Gambino'],IV. Sweatpants,Because the Internet,180.675,75,2013,00GOPLxW4PGQuUYdPJh8K1
3111,['The Pogues'],Greenland Whale Fisheries - 2013 Mix,30 Years,156.48,13,2013,3Z2ygbp9fJjpa6CfCoesJt
3112,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,369.626,80,2013,69kOkLUCkxIZYexIgSG8rq
3113,['David Bowie'],Panic in Detroit - 2013 Remaster,Five Years (1969 - 1973),268.646,13,2013,4Z0ucvQOfTmlQnnUFdE5F8
3114,"['J. Cole', 'TLC']",Crooked Smile (feat. TLC),Born Sinner (Deluxe Version),278.573,75,2013,5gFoAVTN9YlM9uJCrFZtgl
3115,['David Bowie'],Lady Grinning Soul - 2013 Remaster,Five Years (1969 - 1973),235.255,16,2013,2feXc3AIXoxUEbhivntG5E
3116,['The Paper Kites'],Bloom - Bonus Track,Woodland - EP,210.08,77,2013,41yIvlFgvGwxq8qTqAR7eG
3117,['The Pogues'],The Battle of Brisbane - 2013 Mix,30 Years,112.0,14,2013,1Fcgax2qV2WgRQfpDbhGnN
3118,['Tom Odell'],Another Love,Long Way Down (Deluxe),244.36,92,2013,3JvKfv6T31zO0ini8iNItO
3119,['The Pogues'],Young Ned of the Hill - 2013 Mix,30 Years,162.626,13,2013,0qYBEpjM2IQ2ooYyhU0XzG
3120,['M.I.A.'],Bad Girls,Matangi,227.52,79,2013,6nzXkCBOhb2mxctNihOqbb
3121,['Aero Chord'],Android Talk,Battle of the Year 2013 - The Soundtrack,228.32,18,2013,4Vj7V4HJazYhnhXFx7oPtZ
3122,"['Kid Cudi', 'King Chip']",Just What I Am,Indicud,228.026,74,2013,20bJBbPapGQ4bqs0YcA9xY
3123,['Tom Day'],My Last Year,2013,384.0,16,2013,0mJlbk0s18XGePWcuu5ku4
3124,['Phillip Phillips'],Home,The World From The Side Of The Moon (Deluxe),210.173,73,2013,4rsW3WCZBGwhHfJWuHRwyT
3125,['Armin van Buuren ASOT Radio'],Outro - A Matter Of What You Believe In (Mix Cut) - A State Of Trance Year Mix 2013,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),47.32,9,2013,17su1BZuU0cbFK2wWaMhpT
3126,"['Ariana Grande', 'Mac Miller']",The Way,Yours Truly,227.026,73,2013,06EL94D0TA27Ik0Ke5usbj
3127,['Black Oak Arkansas'],15 Million Light Years Away - 2013 Reunion,Back Thar N' Over Yonder (Deluxe),386.56,8,2013,1cO3NlhWE1rGH2g3GgFhbi
3128,['Drake'],0 To 100 / The Catch Up,0 To 100 / The Catch Up,275.226,76,2013,4jtyUzZm9WLc2AdaJ1dso7
3129,['David Bowie'],Time - 2013 Remaster,Five Years (1969 - 1973),315.855,13,2013,0EvOQBSyW3uSfwpcaj5xLe
3130,['Tom Odell'],Another Love,Long Way Down,244.36,71,2013,7otCGmgp9h4CsR2LhwB6gt
3131,['The Pogues'],Dingle Regatta - 2013 Mix,30 Years,172.253,14,2013,1uJdBR7c4vbgZ4iSSacXSj
3132,"['B.o.B', '2 Chainz']",HeadBand (feat. 2 Chainz),Underground Luxury,220.24,74,2013,2LvRR121MWFmmEGkuV2vQP
3133,['City Blues Connection'],This Angel Shuffle (2013 Version),40 Years. City Blues Connection 1979-2019,310.613,14,2013,1TXZL3rPOE755MXifF3OZ7
3134,"['Drake', 'Jhené Aiko']",From Time,Nothing Was The Same,322.16,72,2013,0GaBIpyHvytM1UBYmqXu08
3135,"['Armin van Buuren ASOT Radio', 'Miri Ben-Ari']",Intense (Mix Cut),A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),56.866,13,2013,5GjcCtxU4zdklniLL56hBy
3136,['One Direction'],Best Song Ever,Midnight Memories (Deluxe),200.106,80,2013,5T7ZFtCcOgkpjxcuaeZbw0
3137,"['Armin van Buuren ASOT Radio', 'Markus Schulz']",The Expedition - A State Of Trance 600 Anthem (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),71.106,12,2013,4voY9ipEAh197BQY5pdRVl
3138,"['A$AP Ferg', 'A$AP Rocky', 'French Montana', 'Trinidad James', 'ScHoolboy Q']","Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",Trap Lord,283.693,75,2013,7xVLFuuYdAvcTfcP3IG3dS
3139,['Pete Rivera'],I Just Want to Celebrate,Happy New Year 2013,211.6,12,2013,7ymacTRU0TFQqgz4YN74am
3140,['Phillip Phillips'],"Gone, Gone, Gone",The World From The Side Of The Moon (Deluxe),209.693,76,2013,5L79aNYCTKiZq7vaOElXYj
3141,['Ten Years After'],Going Back to Birmingham - 2013 Remaster,Positive Vibrations (Deluxe Version),158.986,15,2013,41Ds2snKIxYhLtW6Nsg1xX
3142,"['Sevyn Streeter', 'Chris Brown']",It Won't Stop (feat. Chris Brown) - EP Version,"Call Me Crazy, But...",281.08,76,2013,2xRYnHQdLD9ketvC01UYYT
3143,['Rabbit Junk'],Bubble (Remastered),Singles from the Lost Years 2011-2013 (Remastered),240.0,17,2013,2jfnNnHUOecNtrCR3K86vs
3144,"['will.i.am', 'Britney Spears']",Scream & Shout,#willpower,283.4,82,2013,2iJuuzV8P9Yz0VSurttIV5
3145,['Alexandre Bergheau'],Damavand (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),71.64,12,2013,3dEYxh8aiJJWV69yOmBjlS
3146,"['Drake', '2 Chainz', 'Big Sean']",All Me,Nothing Was The Same (Deluxe),270.866,71,2013,7y911sqgHGHcyU4ivapjwi
3147,"['Armin van Buuren ASOT Radio', 'Cindy Alma', 'Protoculture']",Beautiful Life (Mix Cut) - Protoculture Remix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),44.96,12,2013,1MFnJvqgyZ8ChO5xoXAeoI
3148,['Emma Louise'],Jungle,Vs Head Vs Heart,202.907,82,2013,5sAYqcQTEQbTbxdcqI4b8v
3149,"['Band of Horses', 'Dash Berlin']",The Funeral (Mix Cut) - Dash Berlin Remix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),94.133,12,2013,4VVkSp6M7dkleP6tyXP6J5
3150,['Randy Houser'],How Country Feels,How Country Feels,185.906,72,2013,6aUhfNWYnMThF3TGtuYUUu
3151,['The Pogues'],White City - 2013 Mix,30 Years,149.666,11,2013,4lGN7o55EoMfFMsVMM8e7k
3152,"['Hillsong UNITED', 'TAYA']",Oceans (Where Feet May Fail),Zion (Deluxe Edition),535.962,71,2013,5Mw9bXG1dLNhbjofkVS2oR
3153,"['Sergey Nevone', ""Simon O'Shine"", 'Aly & Fila']",Apprehension - Aly & Fila Mix,A State Of Trance Year Mix 2013,266.086,11,2013,5TFbjxIeuqJCRNjf1IiN5i
3154,['The Beach Boys'],Kokomo,Made In California,217.786,76,2013,7B22szTT8omMRmpQw6DMqV
3155,['Fusik'],On the Fly,Battle of the Year 2013 - The Soundtrack,139.0,36,2013,7t8fxbGbmljYsSZr4Cp1Au
3156,['Mitski'],I Want You,"Retired from Sad, New Career in Business",183.792,75,2013,4Phnrzy56Yt0VNooKCwr3p
3157,['Geoff Tate'],Favorite Day of the Year,"Hindsight, Vol. 1: July 5, 2013",62.847,8,2013,00nMaqsvj9v1a8Q9B3J44S
3158,['Zendaya'],Replay,Zendaya,209.186,74,2013,7d1CFwrBmH34gmS0Hkbfbt
3159,['The Pogues'],"Misty Morning, Albert Bridge - 2013 Mix",30 Years,180.346,13,2013,1732q2IXmrPVjjEKHqbJau
3160,"['Katy Perry', 'Juicy J']",Dark Horse,PRISM (Deluxe),215.672,80,2013,5jrdCoLpJSvHHorevXBATy
3161,['Max Graham'],The Evil ID (Mix Cut) - Original Mix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),42.986,11,2013,0Cdyvq3XfEiwbjR4lYudeK
3162,"['Ludovico Einaudi', 'Daniel Hope', 'I Virtuosi Italiani']",Experience,In A Time Lapse,315.426,82,2013,1BncfTJAWxrsxyT9culBrj
3163,"['Armin van Buuren ASOT Radio', 'Richard Bedford']",Love Never Came (Mix Cut),A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),59.066,11,2013,0lcVcychREWvh4JavwbRU1
3164,['Miley Cyrus'],Wrecking Ball,Bangerz (Deluxe Version),221.36,81,2013,2vwlzO0Qp8kfEtzTsCXfyE
3165,['Adam Kantor'],The Schmuel Song,The Last Five Years (2013 Off-Broadway Cast Recording),489.226,13,2013,1dFrWguli4JLTNxFuuKVRe
3166,['Avicii'],Hey Brother,True,255.093,82,2013,4lhqb6JvbHId48OUJGwymk
3167,['Ten Years After'],Stone Me - 2013 Remaster,Positive Vibrations (Deluxe Version),295.2,12,2013,5lIgPxZHgh3eewCyJtNXd5
3168,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",Blurred Lines,Blurred Lines (Deluxe),263.826,79,2013,0n4bITAu0Y0nigrz3MFJMb
3169,['G-DRAGON'],STATION OF ONE YEAR - G-DRAGON 2013 WORLD TOUR 〜ONE OF A KIND〜 IN JAPAN DOME SPECIAL,G-DRAGON 2013 WORLD TOUR 〜ONE OF A KIND〜 IN JAPAN DOME SPECIAL,292.813,18,2013,4Kd5247oiHig9FuNfBItuO
3170,['One Direction'],You & I,Midnight Memories (Deluxe),237.933,81,2013,2afCBiru10AFckfOa49wIa
3171,"[""Director's Cut"", 'Frankie Knuckles', 'Supernova']",The Whistle Song - Supernova Remix,The Best of 10 Years - 2003 /2013 (Mixed),440.655,18,2013,2tMUZvoaufnrGMOHJnjDIP
3172,"['Icona Pop', 'Charli XCX']",I Love It (feat. Charli XCX),THIS IS... ICONA POP,157.152,73,2013,6HZ9VeI5IRFCNQLXhpF4bq
3173,['Small Faces'],"Donkey Rides, A Penny a Glass - 2013 Remaster",Greatest Hits - The Immediate Years 1967-1969,167.935,15,2013,1ccQlDBlyX71SZYHmAKMa2
3174,"['Kristen Bell', 'Santino Fontana']","Love Is an Open Door - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),124.733,74,2013,3IPnBzGRMg6BfViFxxa0Gq
3175,['The Pogues'],Kitty - 2013 Mix,30 Years,285.813,11,2013,4OIDvLGe1BRMC0bdcHCWaT
3176,"['Eminem', 'Rihanna']",The Monster,The Marshall Mathers LP2,250.188,80,2013,48RrDBpOSSl1aLVCalGl5C
3177,['The Pogues'],Lorelei - 2013 Mix,30 Years,211.693,10,2013,3PlZyl0rYCR5ec5kix5a4n
3178,['Marc Anthony'],Vivir Mi Vida,3.0,252.346,79,2013,3QHMxEOAGD51PDlbFPHLyJ
3179,['The Pogues'],Blue Heaven - 2013 Mix,30 Years,213.36,9,2013,5gRYhQx6PA06M2OULWgmF0
3180,['The Front Bottoms'],Twin Size Mattress,Talon Of The Hawk,264.676,70,2013,14N3tALR3Mhf7UHpJRKk4L
3181,['The Pogues'],Cotton Fields - 2013 Mix,30 Years,167.28,9,2013,4xJAshzbgxlTHGELVQOzby
3182,['Banda Los Recoditos'],Mi Último Deseo,El Free,163.56,78,2013,01ksPzu3Bw8Lsf9o6xIk8C
3183,['David Bowie'],Aladdin Sane - 2013 Remaster,Five Years (1969 - 1973),310.426,12,2013,5fP1c8kVSlX4IqTns1IHzC
3184,"['Jason Derulo', '2 Chainz']",Talk Dirty (feat. 2 Chainz),Talk Dirty,177.685,70,2013,6g6A7qNhTfUgOSH7ROOxTD
3185,['David Bowie'],Cracked Actor - 2013 Remaster,Five Years (1969 - 1973),181.536,12,2013,2rSPVvnhnpM10LbkVSnFyG
3186,"['Kristen Bell', 'Agatha Lee Monn', 'Katie Lopez']","Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),206.506,74,2013,2yi7HZrBOC4bMUSTcs4VK6
3187,['Edwin Yearwood'],Work That Thing,Soca Gold 2013,170.813,9,2013,73NYSTGVcNPpWHMeXDZhFC
3188,['Drake'],Started From the Bottom,Nothing Was The Same,174.133,70,2013,5DI9jxTHrEiFAhStG7VA8E
3189,['David Bowie'],The Prettiest Star - 2013 Remaster,Five Years (1969 - 1973),211.684,13,2013,4dmITPUhqpbnykE531crb8
3190,['Mac Miller'],Objects in the Mirror,Watching Movies with the Sound Off (Deluxe Edition),259.143,72,2013,64gyqTtDDel7B2NoEkOa0A
3191,"['Kat Krazy', 'Elkka', 'Armin van Buuren ASOT Radio']",Siren (Mix Cut) - Armin van Buuren Remix,A State Of Trance Year Mix 2013 (Mixed by Armin van Buuren),43.626,10,2013,3SxKgjXLemnNjhKUTa998t
3192,['Billy Currington'],We Are Tonight,We Are Tonight,232.106,71,2013,2EvddT8rcO99bKH0rDHAYG
3193,"['RAM', 'Susana']",RAMelia (Tribute To Amelia),A State Of Trance Year Mix 2013,205.733,10,2013,1Tfx6L7ZMvfl2CywQKb9ok
3194,"['Jhené Aiko', 'Kendrick Lamar']",Stay Ready (What A Life),Sail Out,382.76,73,2013,5nkUIVKqOqdpB6ApKgEMkv
3195,['The Pogues'],Down in the Ground Where the Deadmen Go - 2013 Mix,30 Years,212.613,11,2013,7AxrbRdMwW0ddHFS0nURLc
