,artists,track,album,time (s),popularity,year,id
43,['The Wonder Years'],Mike Kennedy is a Bad Friend,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,74.653,23,2010,4sAmuFVZheVcDg57sBk19P
44,['Kanye West'],POWER,My Beautiful Dark Twisted Fantasy,292.093,83,2010,2gZUPNdnz5Y45eiGxpHGSc
45,['Year 200X'],Zelda II (Title - Battle - Fairy - Palace),We Are Error,386.226,24,2010,1mo7zvAi0AFpLj4ODV9AyY
46,['Taylor Swift'],Enchanted,Speak Now,352.186,78,2010,10eBRyImhfqVvkiVEGf0N0
47,['The Wonder Years'],Hey Julie,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,164.928,23,2010,0taEJLD5LCdeDNueqr18SB
48,['Kid Cudi'],Mr. Rager,Man On The Moon II: The Legend Of Mr. Rager,294.213,78,2010,2ncLdwTd8qzkxiJjlbiOgC
49,['Year 200X'],Castlevania III (the Beginning),We Are Error,114.0,25,2010,2HUMceEhjkJoOfn7UsomyX
50,"['Eminem', 'Rihanna']",Love The Way You Lie,Recovery,263.373,86,2010,15JINEqzVMv3SvJTAXAKED
51,['The Wonder Years'],My Geraldine Lies Over the Delaware,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,149.583,22,2010,7FEQGSahSTHTU9gflAhEYt
52,"['Trey Songz', 'Nicki Minaj']",Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure (Deluxe Version)",242.013,78,2010,4AYX69oFP3UOS1CFmV9UfO
53,['Third Eye Blind'],Losing a Whole Year - 2006 Remaster,A Collection,200.906,30,2010,4OtTVS1297d8h56MAX4Wpy
54,['Jason Aldean'],Dirt Road Anthem,My Kinda Party,229.4,76,2010,2qYsSHsYkihWx043HVJQRV
55,['The Wonder Years'],Don’t Open the Fridge!,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,177.407,22,2010,5PTAeRYItjvwFNpOanWl2R
56,['Gorillaz'],Rhinestone Eyes,Plastic Beach,200.173,84,2010,1foMv2HQwfQ2vntFf9HFeG
57,['Anthem Lights'],K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),182.287,31,2010,5rJw9VsPNdfnV9Ar97xZG2
58,"['Usher', 'Pitbull']",DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),220.8,84,2010,4356Typ82hUiFAynbLYbPn
59,['The Wonder Years'],Let’s Moshercise!!!,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,152.67,22,2010,5phGGPlszDmRQ7T0h8vu64
60,"['Justin Bieber', 'Ludacris']",Baby,My World 2.0,214.24,85,2010,6epn3r7S14KUqlReYr77hA
61,"['Year 200X', 'Alex Atchley']",Mega Man 3 (title Theme)(sfx Intro By Alex Atchley),We Are Error,153.986,21,2010,0ldeZmVLVfyhRKCavkFv2K
62,['Neon Trees'],Animal,Habits,212.293,76,2010,1fBl642IhJOE5U319Gy2Go
63,['The Wonder Years'],Zip Lock,Sleeping on Trash: A Collection of Songs Recorded 2005-2010,201.947,21,2010,5QlZuOOL28pIDmVzfOSSYl
64,"['Mike Posner', 'Gigamesh']",Cooler Than Me - Single Mix,31 Minutes to Takeoff,213.293,80,2010,2V4bv1fNWfTcyRJKmej6Sj
65,['Year 200X'],Wizards And Warriors/Ironsword (Title - Forest - Wind Elemental - Outside Castle Ironspire),World of Ruin,281.845,21,2010,4pUphnieXvbcoc6sM8XiPN
66,['Rihanna'],S&M,Loud (Japan Version),243.6,82,2010,7ySUcLPVX7KudhnmNcgY2D
67,['Pink Floyd'],Jugband Blues - 2010 Mix,"The Early Years, 1967-1972, Cre/ation",181.746,23,2010,08R6bwJHKMpQwc9uCgoLlG
68,['Bruno Mars'],Marry You,Doo-Wops & Hooligans,230.192,78,2010,22PMfvdz35fFKYnJyMn077
69,['Anthem Lights'],K-Love Fan Awards: Songs of the Year (2014 Mash-Up),K-Love Fan Awards: Songs of the Year (2014 Mash-Up),213.164,29,2010,00ohIpPn9LkKpeIqhfIU9V
70,['Eminem'],Not Afraid,Recovery,248.133,84,2010,7Ie9W94M7OjPoZVV216Xus
